               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03311,            0.016567,           0.0026087,              0.6429,             0.60735,             0.64487,             0.39369,            0.044812,           0.0098698,            0.011806,             0.00307,             0.00307,             0.00307
                  37,            0.033175,            0.015992,           0.0030606,             0.62878,             0.65627,             0.65719,             0.39549,             0.04642,            0.010101,             0.01421,            0.002872,            0.002872,            0.002872
                  38,            0.031784,            0.016035,           0.0029898,             0.65776,             0.57205,             0.64312,             0.40047,            0.046262,            0.010239,            0.013197,            0.002674,            0.002674,            0.002674
                  39,            0.031289,            0.017072,           0.0020012,             0.72252,             0.52074,              0.6261,              0.3997,            0.047107,            0.010291,            0.012499,            0.002476,            0.002476,            0.002476
                  40,            0.031591,            0.016696,           0.0025811,             0.62363,             0.58103,             0.59771,             0.37627,            0.048138,            0.010486,            0.011869,            0.002278,            0.002278,            0.002278
                  41,            0.031142,            0.017884,           0.0014448,             0.68214,             0.65604,             0.64504,             0.39987,            0.045383,            0.010012,             0.01329,             0.00208,             0.00208,             0.00208
                  42,            0.030625,            0.016978,           0.0018708,             0.71097,             0.73213,             0.68161,             0.40456,            0.044628,           0.0099384,            0.013386,            0.001882,            0.001882,            0.001882
                  43,            0.029913,            0.016549,             0.00164,             0.68751,             0.74351,             0.67684,             0.40869,            0.044767,            0.009824,            0.011523,            0.001684,            0.001684,            0.001684
                  44,            0.027909,             0.01578,           0.0021519,             0.67948,             0.69899,             0.67779,              0.4214,            0.044166,           0.0098635,            0.011116,            0.001486,            0.001486,            0.001486
                  45,            0.030028,            0.016036,           0.0021702,             0.65324,             0.74022,             0.67802,             0.41997,             0.04289,           0.0099868,            0.012225,            0.001288,            0.001288,            0.001288
                  46,             0.02789,            0.015328,           0.0014762,             0.67314,             0.63235,             0.67036,             0.43522,            0.043245,           0.0099797,            0.013029,             0.00109,             0.00109,             0.00109
                  47,              0.0273,            0.016078,           0.0018258,             0.62447,             0.65735,              0.6578,             0.42372,            0.044159,           0.0098605,             0.01292,            0.000892,            0.000892,            0.000892
                  48,            0.028327,            0.015694,           0.0018955,             0.75014,             0.54183,             0.63932,             0.42406,            0.044484,            0.009892,            0.012589,            0.000694,            0.000694,            0.000694
                  49,            0.026146,            0.015034,           0.0013807,             0.62726,             0.68676,             0.64035,             0.42366,             0.04404,           0.0099537,            0.012623,            0.000496,            0.000496,            0.000496
